"pit_id","sex","date.tagged","species","site"
"P_989.001004592879","M",2017-11-06,"MYSE","SOUTH PORTAL"
"P_989.001004592867","F",2017-11-06,"MYSE","SOUTH PORTAL"
"P_989.001004592880","F",2017-11-06,"MYSE","SOUTH PORTAL"
"P_989.001004592890","M",2017-11-06,"MYSE","SOUTH PORTAL"
"P_989.001004592889","M",2017-11-06,"MYSE","SOUTH PORTAL"
"P_989.001004592841","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592780","F",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592762","M",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592754","M",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592843","M",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592813","M",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592834","M",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592777","F",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592791","F",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592862","M",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592886","M",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592881","M",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592861","M",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592871","F",2017-11-06,"PESU","SOUTH PORTAL"
"P_989.001004592855","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592866","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592888","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592812","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592814","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592758","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592807","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592797","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592770","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592778","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592786","M",2017-11-06,"MYLU","SOUTH PORTAL"
"P_989.001004592763","M",2017-11-06,"MYLU","SOUTH PORTAL"
