Biomark Device Manager Version 1.2.37
Export All Records To File
Export Date/Time: 9/4/2024 3:32:51 PM

Scan Date   Scan Time     Download Date  Download Time  S/N   Reader ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  
----------  ------------  -------------  -------------  ----  ---------  --------------  ----------------  -------------  ---------  ------------  
01/01/2016  00:00:01.160  09/04/2024     15:32:18       1527  01         3E7.0000001D01  999.000000007425                                          
01/01/2016  00:00:01.170  09/04/2024     15:32:18       1527  01         3E7.0000001D01  999.000000007425                            Yes           
10/23/2023  15:35:43.760  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                                          
10/23/2023  15:35:43.830  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:43.900  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:43.970  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:44.030  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:44.160  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:44.190  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:44.220  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:44.250  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:44.280  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.380  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.440  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.510  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.560  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.630  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.690  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.760  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.810  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.880  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:48.940  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.000  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.060  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.120  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.180  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.230  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.300  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.350  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.410  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.470  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.530  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.590  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.660  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.720  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.780  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.840  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.900  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:49.970  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.030  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.090  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.160  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.220  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.280  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.340  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.410  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.470  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.530  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.590  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.650  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.720  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.790  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.850  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.910  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.970  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.040  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.100  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.160  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.220  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.270  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.330  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.370  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.400  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.460  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.490  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.520  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.570  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.610  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.640  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.670  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.700  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.730  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
