date,species,temp,sex,mass,id,age,site
11/5/19,MYLU,5.5,M,NA,P_989.001004592907,,BAIT
11/5/19,MYLU,5.5,F,NA,P_989.001004592761,A,BAIT
11/5/19,MYLU,5.5,M,NA,P_989.001004592938,J,BAIT
11/5/19,MYLU,5.3,M,NA,P_989.001004592919,A,BAIT
11/5/19,MYLU,5.5,M,NA,P_989.001004592702,A,BAIT
11/5/19,MYLU,5.5,M,NA,P_989.001004592731,A,BAIT
11/5/19,MYLU,5.2,M,NA,P_989.001004592802,A,BAIT
11/5/19,MYLU,5.2,F,NA,P_989.001004592773,J,BAIT
11/5/19,MYLU,5.3,M,NA,P_989.001004592806,A,BAIT
11/5/19,MYLU,4.7,F,NA,P_989.001004592827,A,BAIT
11/5/19,MYLU,5.2,F,NA,P_989.001004592852,J,BAIT
11/5/19,MYLU,5.2,F,NA,P_989.001004592884,A,BAIT
11/5/19,MYLU,5.2,F,NA,P_989.001004592830,J,BAIT
11/5/19,MYLU,5.2,M,NA,P_989.001004592695,A,BAIT
11/5/19,MYLU,5.1,M,NA,P_989.001004592859,A,BAIT
11/5/19,MYLU,5.1,F,NA,P_989.001004592900,A,BAIT
11/5/19,MYLU,5.4,F,NA,P_989.001004592910,J,BAIT
11/5/19,MYLU,5.4,F,NA,P_989.001004592832,J,BAIT
11/5/19,MYLU,5.4,M,NA,P_989.001004592928,A,BAIT
11/5/19,MYLU,5.4,F,NA,P_989.001004592772,A,BAIT
11/5/19,MYLU,7.3,M,NA,P_989.001004592811,,MAOC
11/5/19,MYLU,7.3,M,NA,P_989.001004592742,J,MAOC
11/5/19,MYLU,7.6,M,NA,P_989.001004592846,A,MAOC
11/5/19,MYLU,7.6,M,NA,P_989.001004592826,J,MAOC
11/5/19,MYLU,7.3,M,NA,P_989.001004592792,J,MAOC
11/5/19,MYLU,7.8,F,NA,P_989.001004592757,A,MAOC
11/5/19,MYLU,7.7,M,NA,P_989.001004592849,A,MAOC
11/5/19,MYLU,8.1,M,NA,P_989.001004592764,J,MAOC
11/5/19,MYLU,8.3,M,NA,P_989.001004592824,J,MAOC
11/5/19,MYLU,8.3,F,NA,P_989.001004592810,A,MAOC
11/5/19,MYLU,7.5,M,NA,P_989.001004592844,J,MAOC
11/5/19,MYLU,7.5,F,NA,P_989.001004592775,A,MAOC
11/5/19,MYLU,7.8,M,NA,P_989.001004592845,J,MAOC
11/5/19,MYLU,7.8,M,NA,P_989.001004592804,J,MAOC
11/5/19,PESU,7.5,F,NA,P_989.001004592784,A,MAOC
11/5/19,PESU,7.6,M,NA,P_989.001004592840,J,MAOC
11/5/19,PESU,7.4,F,NA,P_989.001004592799,A,MAOC
11/5/19,MYLU,7.3,M,NA,P_989.001004592820,J,MAOC
11/5/19,MYLU,7.5,F,NA,P_989.001004592902,A,MAOC
11/5/19,PESU,7.8,M,NA,P_989.001004592744,A,MAOC
11/5/19,PESU,8.1,F,NA,P_989.001004592767,A,MAOC
11/5/19,MYLU,7.9,M,NA,P_989.001004592691,A,MAOC
11/5/19,MYLU,7.8,M,NA,P_989.001004592759,A,MAOC
11/5/19,MYLU,7.7,M,NA,P_989.001004592696,A,MAOC
11/5/19,MYLU,7.7,M,NA,P_989.001004592722,A,MAOC
11/5/19,PESU,9,M,NA,P_989.001004592789,J,MAOC
11/5/19,PESU,9.1,M,NA,P_989.001004592725,J,MAOC
11/5/19,PESU,6.7,F,NA,P_989.001004592698,A,MAOC
11/5/19,PESU,7.5,M,NA,P_989.001004592675,A,MAOC
11/5/19,PESU,7.9,,NA,P_989.001004592883,A,MAOC
11/5/19,PESU,7.4,M,NA,P_989.001004592836,A,MAOC
11/5/19,PESU,7,M,NA,P_989.001004592917,J,MAOC
11/5/19,PESU,8.4,M,NA,P_989.001004592815,A,MAOC
11/5/19,PESU,7.7,F,NA,P_989.001004592803,J,MAOC
11/5/19,PESU,7.5,M,NA,P_989.001004592779,J,MAOC
11/5/19,PESU,8.4,F,NA,P_989.001004592856,A,MAOC
3/2/20,MYLU,4,F,NA,P_989.001004592900,A,BAIT
3/2/20,MYLU,6,M,NA,P_989.001004592802,,BAIT
3/2/20,MYLU,4.3,M,NA,P_989.001004592695,,BAIT
3/2/20,MYLU,4.1,F,NA,P_989.001004592827,,BAIT
3/2/20,MYLU,4.7,M,NA,P_989.001004592928,,BAIT
3/2/20,MYLU,4.7,M,NA,P_989.001004592919,,BAIT
