start,end,serial.num,test.tag,reader,site,ent (old),ent (new)
8/25/20,5/15/23,1929.3116,P_999.000000007425,MAOC1,MAOC,1,2
7/26/23,8/29/23,2032.3566,P_999.000000007429,MAOC1,MAOC,1,2
8/29/23,,2032.3566,P_999.000000007429,MAOC1,MAOC,1,2
8/16/20,7/10/23,1929.3117,P_999.000000007425,MAOC2,MAOC,2,1
8/3/23,8/26/23,2151.4344,P_999.000000007425,MAOC2,MAOC,2,1
8/29/23,,2326.5081,P_999.000000007425,MAOC2,MAOC,2,1
10/6/21,8/30/23,2131.4183,P_999.000000007425,MAOC3,MAOC,3,3
8/31/23,,2131.4183,P_999.000000007425,MAOC3,MAOC,3,3
11/9/20,8/30/23,2037.3617,P_999.000000007425,MAOC4,MAOC,4,4
8/31/23,,2037.3617,P_999.000000007425,MAOC4,MAOC,4,4
8/24/20,7/10/23,1929.3113,P_999.000000007425,BAIT1,BAIT,1,1
12/6/23,,2326.508,P_999.000000007425,BAIT1,BAIT,1,1
8/24/20,5/25/23,1929.3114,P_999.000000007425,BAIT2,BAIT,2,2
11/8/23,,2244.4721,P_999.000000007425,BAIT2,BAIT,2,2
9/2/20,11/1/23,2032.3564,P_999.000000007425,NEIN1,NEIN,1,1
11/2/24,,2032.3564,P_999.000000007425,NEIN1,NEIN,1,1
9/1/20,4/28/21,2032.3565,P_999.000000007426,NEIN2,NEIN,2,4
10/5/21,11/1/23,2131.4182,P_999.000000007425,NEIN2,NEIN,2,4
11/2/24,,2131.4182,P_999.000000007425,NEIN2,NEIN,2,4
9/2/20,11/1/23,2032.3563,P_999.000000007428,NEIN4,NEIN,4,2
11/2/24,,2032.3563,P_999.000000007428,NEIN4,NEIN,4,2
9/2/20,7/30/21,2032.3566,P_999.000000007429,NEIN5,NEIN,5,3
8/19/21,10/3/21,2032.3565,P_999.000000007426,NEIN5,NEIN,5,3
10/4/21,,2132.42,P_999.000000007425,NEIN5,NEIN,5,3
9/8/23,,5167,P_999.000000007425,CLTO1,CLTO,1,1
10/23/23,,1527,P_999.000000007425,HAES1,HAES,1,1
9/1/24,,2420.5692,P_999.000000007425,BAON1,BAON,1,
9/1/24,,2420.569,P_999.000000007425,BAON2,BAON,2,
